MonthYear,Actor1CountryCode,Events
201802   ,CYM              ,425
201802   ,SLB              ,470
201802   ,CRB              ,149
201505   ,USA              ,930931
201605   ,AIA              ,149
201506   ,RWA              ,6770
201503   ,CZE              ,9194
201505   ,THA              ,23622
201506   ,ETH              ,6005
201506   ,NMR              ,3570
201503   ,CMR              ,4837
201506   ,SWE              ,15723
201502   ,SLV              ,848
201605   ,CZE              ,11093
201503   ,ISL              ,1863
201502   ,PRK              ,2963
201507   ,SDN              ,11464
201605   ,LSO              ,947
201503   ,UZB              ,3020
201602   ,GNQ              ,357
201604   ,GEO              ,98
201602   ,LSO              ,579
201603   ,MHL              ,356
201505   ,GEO              ,118
201603   ,EAF              ,168
201601   ,SMR              ,55
201705   ,WAF              ,625
201512   ,SCN              ,6
201806   ,PAN              ,5201
201806   ,SEA              ,3416
201806   ,QAT              ,10916
201506   ,CAU              ,1
201807   ,DEU              ,85169
201807   ,GHA              ,12325
201807   ,BRB              ,1419
201807   ,LBR              ,2508
202006   ,NZL              ,2467
201808   ,                 ,3547047
201809   ,KNA              ,344
201808   ,GBR              ,158715
201809   ,GRD              ,857
201808   ,BGD              ,18832
201809   ,WAF              ,456
201808   ,ERI              ,2911
201907   ,AIA              ,170
201907   ,CIV              ,1641
201906   ,GTM              ,6170
201812   ,CRI              ,2199
201811   ,WST              ,7223
201810   ,MOZ              ,2236
201811   ,COG              ,1945
201901   ,IDN              ,27124
201901   ,VAT              ,4293
201901   ,TCD              ,4373
201901   ,ALB              ,5515
201901   ,KHM              ,4641
201901   ,MNG              ,1206
201901   ,KAZ              ,4083
201901   ,GNQ              ,333
201904   ,NRU              ,168
201902   ,LTU              ,4885
201911   ,MCO              ,3550
201911   ,PAK              ,37723
201911   ,SWE              ,15086
201911   ,ETH              ,5909
201911   ,COK              ,300
201911   ,RWA              ,3489
201910   ,ZWE              ,7419
201903   ,MUS              ,3379
201903   ,LAO              ,1175
201912   ,NZL              ,19008
201912   ,BGR              ,6529
201908   ,ARG              ,13321
201909   ,VUT              ,447
201908   ,KEN              ,14017
201908   ,FSM              ,285
201908   ,CAS              ,33
201905   ,MHL              ,459
202001   ,KOR              ,19834
201910   ,MAR              ,6329
202001   ,TGO              ,736
202003   ,DNK              ,6985
202003   ,AZE              ,5376
202002   ,KHM              ,6925
202003   ,ISL              ,1348
202002   ,MLI              ,5104
202002   ,ZWE              ,6367
201905   ,KOR              ,28113
202005   ,NER              ,1618
201905   ,IRN              ,78815
201905   ,MLT              ,3790
201611   ,SWE              ,23711
201611   ,PSE              ,33348
201611   ,CMR              ,3137
201611   ,AGO              ,4065
201610   ,TON              ,408
201511   ,EST              ,4293
201612   ,POL              ,28759
201706   ,NOR              ,12260
201706   ,AZE              ,11986
201607   ,ZWE              ,12918
201707   ,CPV              ,213
201607   ,URY              ,5679
201607   ,ERI              ,1505
201607   ,TWN              ,10369
201708   ,URY              ,3822
201708   ,LBY              ,16567
201708   ,YEM              ,18528
201708   ,MDA              ,7465
201706   ,MKD              ,16896
201708   ,KGZ              ,2517
201608   ,LVA              ,4803
201608   ,LCA              ,994
201608   ,PER              ,13538
201508   ,JOR              ,20389
201608   ,SLB              ,444
201607   ,COD              ,5609
201508   ,QAT              ,14170
201704   ,SCN              ,15
201703   ,CMR              ,4063
201703   ,CIV              ,2960
201702   ,KOR              ,41862
201702   ,CAN              ,93734
201702   ,MOZ              ,1973
201701   ,DNK              ,12774
201701   ,QAT              ,11390
201701   ,BGR              ,11042
201602   ,FJI              ,5242
201701   ,SLB              ,344
201603   ,PRK              ,33949
201703   ,CRI              ,2178
201603   ,BRB              ,1092
201603   ,BGD              ,23268
201602   ,BMU              ,1221
201701   ,ASA              ,226
201604   ,MAC              ,76
201705   ,FRA              ,121811
201604   ,GRD              ,1013
201705   ,AUS              ,89624
201706   ,BMU              ,1153
201606   ,CUB              ,17672
201706   ,SUR              ,280
201606   ,GBR              ,264358
201705   ,MMR              ,7238
201606   ,RWA              ,4466
201606   ,WST              ,13850
201606   ,IRN              ,66319
201606   ,COG              ,2733
201708   ,NRU              ,237
201610   ,PLW              ,264
201510   ,ARG              ,18171
201609   ,BOL              ,9170
201510   ,ARE              ,16287
201610   ,SMR              ,96
201609   ,LCA              ,1189
201609   ,LAM              ,86
201603   ,GTM              ,4150
201707   ,TUV              ,85
201612   ,FJI              ,3227
201512   ,JPN              ,50761
201512   ,GBR              ,169873
201601   ,ARM              ,9280
201705   ,LIE              ,190
201709   ,SSD              ,3997
201709   ,NMR              ,4743
201805   ,CHL              ,15527
201805   ,CHN              ,144149
201805   ,MKD              ,20695
201805   ,TMP              ,479
201711   ,EGY              ,71828
201710   ,IRN              ,92534
201710   ,KOR              ,36302
201510   ,MEA              ,1404
201804   ,HUN              ,10934
201801   ,SEN              ,5438
201712   ,KOR              ,32440
201712   ,ARG              ,21977
201803   ,POL              ,31631
201803   ,SAU              ,54031
201803   ,LSO              ,937
201802   ,TCD              ,3673
201802   ,HRV              ,9847
201509   ,NRU              ,824
201710   ,LKA              ,9080
201601   ,FSM              ,129
201507   ,IDN              ,26257
201510   ,GRD              ,992
201605   ,ATG              ,375
201503   ,AFG              ,36192
201502   ,DZA              ,3467
201504   ,EGY              ,56000
201504   ,BHR              ,5837
201508   ,ZMB              ,4678
201502   ,BHS              ,1348
201512   ,BLZ              ,2554
201504   ,CHE              ,20916
201603   ,SUR              ,340
201510   ,SCN              ,50
201512   ,TGO              ,725
201507   ,MAC              ,120
201504   ,GEO              ,66
201512   ,WLF              ,14
201502   ,VCT              ,238
201508   ,SLB              ,846
201511   ,WAF              ,420
201804   ,DMA              ,494
201804   ,LIE              ,160
201501   ,BGD              ,280
201512   ,AND              ,214
201505   ,TUV              ,103
201601   ,LIE              ,117
201511   ,CAU              ,8
201503   ,WLF              ,9
201705   ,VUT              ,444
201806   ,BTN              ,853
201806   ,HND              ,6048
201807   ,PHL              ,27380
201807   ,EUR              ,87451
201807   ,BRN              ,1128
201807   ,NAM              ,3171
201807   ,CAS              ,68
202006   ,BWA              ,204
202006   ,SRB              ,548
202006   ,NMR              ,364
202006   ,ERI              ,33
201809   ,ISR              ,95214
201809   ,LBY              ,8910
201809   ,MDA              ,3582
201907   ,CRI              ,1985
201907   ,AND              ,306
201812   ,CAN              ,85732
201811   ,                 ,3578301
201812   ,BHS              ,2558
201812   ,CAF              ,873
201811   ,BDI              ,1313
201810   ,EUR              ,77574
201810   ,PHL              ,26118
201810   ,NZL              ,21359
201810   ,PSE              ,37890
201810   ,LSO              ,862
201811   ,ECU              ,6453
201901   ,IRQ              ,24510
201901   ,GIN              ,1401
201901   ,STP              ,68
201904   ,KNA              ,853
201902   ,PER              ,11984
201902   ,CYM              ,617
201902   ,TON              ,470
201902   ,KIR              ,148
201911   ,TZA              ,2498
201910   ,AUS              ,58245
201910   ,JAM              ,4544
201903   ,LBR              ,2304
201912   ,GBR              ,140892
201912   ,ARE              ,9646
201912   ,COG              ,1194
201909   ,ZAF              ,19344
201909   ,ESP              ,37316
201909   ,CHN              ,104231
201909   ,BRA              ,26654
201909   ,DOM              ,1872
201909   ,GUY              ,3028
201909   ,HUN              ,6684
201909   ,CRI              ,1445
201908   ,FIN              ,8622
201908   ,POL              ,20768
201908   ,MHL              ,334
201912   ,LAM              ,12
202002   ,COG              ,1054
202002   ,MEA              ,2029
202001   ,CHE              ,24800
202001   ,SOM              ,5091
201910   ,GIN              ,2447
201910   ,GMB              ,1774
202001   ,SGP              ,7503
202001   ,GHA              ,9833
202001   ,OMN              ,6687
202001   ,TON              ,311
202004   ,IRL              ,20607
202004   ,SWE              ,10933
202004   ,LKA              ,5833
202004   ,ABW              ,130
202003   ,HND              ,2496
201904   ,BLR              ,10224
201903   ,TCD              ,2428
202003   ,GNB              ,413
201903   ,CZE              ,8463
202002   ,SAF              ,166
201905   ,CAN              ,80995
202005   ,OMN              ,2189
202005   ,IRN              ,31126
202005   ,BTN              ,530
201905   ,BRA              ,26265
201905   ,ISR              ,74991
201905   ,STP              ,204
201905   ,MDA              ,3006
201611   ,VNM              ,23998
201611   ,JAM              ,5757
201610   ,USA              ,1243220
201610   ,MKD              ,6687
201611   ,MEA              ,1040
201511   ,CMR              ,3464
201511   ,THA              ,12572
201612   ,ALB              ,13551
201612   ,SGP              ,11331
201706   ,QAT              ,82756
201706   ,LUX              ,4776
201707   ,JAM              ,5026
201707   ,SEA              ,5098
201607   ,KHM              ,7896
201706   ,BHS              ,2518
201607   ,ARE              ,12764
201607   ,GMB              ,1944
201607   ,LBN              ,17371
201708   ,BOL              ,6660
201708   ,DJI              ,1280
201708   ,UZB              ,2474
201608   ,USA              ,1179628
201607   ,AZE              ,13881
201608   ,MUS              ,4409
201608   ,LKA              ,11545
201508   ,RWA              ,5450
201612   ,AND              ,241
201508   ,SAS              ,2177
201704   ,RWA              ,4230
201704   ,CYP              ,7709
201704   ,BEN              ,1149
201704   ,DZA              ,8736
201703   ,URY              ,5017
201703   ,PER              ,18375
201704   ,SWZ              ,596
201703   ,COL              ,23565
201703   ,EGY              ,75586
201703   ,MMR              ,9094
201703   ,SSD              ,7173
201703   ,COD              ,4184
201703   ,TON              ,417
201703   ,TKM              ,2778
201702   ,SLB              ,602
201701   ,CHE              ,37850
201602   ,BGD              ,18789
201701   ,MNG              ,1749
201703   ,SAF              ,339
201703   ,CPV              ,360
201701   ,SWZ              ,592
201602   ,BHS              ,3752
201701   ,FSM              ,123
201601   ,VCT              ,661
201705   ,SRB              ,7694
201705   ,SWE              ,21759
201706   ,BEN              ,1184
201606   ,MDV              ,15867
201606   ,TWN              ,9810
201706   ,SHN              ,35
201510   ,SVK              ,4666
201510   ,ARM              ,13515
201510   ,AFG              ,55629
201609   ,LUX              ,5526
201509   ,EST              ,5444
201709   ,CHL              ,12316
201709   ,TUR              ,91691
201607   ,AND              ,325
201612   ,TGO              ,929
201512   ,FRA              ,132182
201612   ,GNQ              ,752
201601   ,ISR              ,101848
201512   ,QAT              ,13429
201709   ,CPV              ,295
201804   ,FRA              ,126062
201711   ,LTU              ,5436
201711   ,DZA              ,7258
201711   ,KAZ              ,7809
201711   ,AGO              ,4973
201710   ,ARG              ,18691
201710   ,ZWE              ,9213
201804   ,SLV              ,2485
201801   ,GRC              ,38875
201801   ,JPN              ,44320
201801   ,ARE              ,14597
201801   ,SMR              ,106
201712   ,TUR              ,95095
201803   ,AUS              ,82796
201803   ,BEL              ,31502
201803   ,YEM              ,14708
201802   ,CUB              ,9010
201802   ,NOR              ,8677
201509   ,BLZ              ,1854
201802   ,KWT              ,12900
201710   ,TMP              ,426
201710   ,BMU              ,1285
201802   ,CIV              ,1516
201507   ,ITA              ,60941
201506   ,ITA              ,55765
201505   ,IRQ              ,60541
201506   ,CAN              ,73378
201605   ,NZL              ,17219
201504   ,SEA              ,6396
201502   ,PRT              ,3225
201508   ,NMR              ,4241
201605   ,VNM              ,33905
201502   ,BGR              ,4014
201508   ,PAN              ,5070
201601   ,GNQ              ,307
201509   ,LIE              ,262
201507   ,MWI              ,2493
201501   ,SDN              ,155
201507   ,PGS              ,711
201502   ,BWA              ,760
201509   ,CAS              ,91
201605   ,FSM              ,167
201510   ,SUR              ,499
201602   ,STP              ,209
201804   ,SRB              ,14439
201804   ,SUR              ,199
201804   ,MAC              ,119
201504   ,SMR              ,91
201501   ,BTN              ,6
201603   ,WLF              ,3
201806   ,RUS              ,142691
201806   ,LUX              ,5816
201806   ,AFR              ,41475
201806   ,SOM              ,6674
201806   ,SCN              ,4
201807   ,CHL              ,10410
201807   ,CUB              ,9011
201807   ,BHR              ,4299
202006   ,IRL              ,2643
202006   ,BHS              ,312
202006   ,HTI              ,168
201906   ,IDN              ,23691
201809   ,SAS              ,1588
201809   ,VAT              ,7647
201809   ,HKG              ,264
201809   ,CHN              ,130024
201808   ,PRK              ,30056
201808   ,VEN              ,25817
201808   ,OMN              ,3370
201808   ,PAN              ,3548
201808   ,VCT              ,582
201808   ,KAZ              ,7068
201808   ,SLB              ,428
201808   ,DJI              ,1895
201907   ,MWI              ,3614
201907   ,SLV              ,3819
201812   ,URY              ,3178
201812   ,OMN              ,4459
201810   ,MYS              ,19081
201810   ,CHE              ,18052
201810   ,FJI              ,7329
201810   ,KWT              ,6172
201811   ,NER              ,2190
201901   ,PSE              ,27736
201901   ,CAN              ,87179
201906   ,CAS              ,392
201902   ,CHE              ,16593
201809   ,GEO              ,47
201911   ,RUS              ,127823
201911   ,AUT              ,7309
201911   ,GMB              ,1849
201911   ,MHL              ,322
201903   ,CPV              ,392
201912   ,CHL              ,10427
201912   ,AIA              ,89
201909   ,ITA              ,42973
201909   ,HRV              ,5660
201909   ,ZWE              ,10875
201909   ,MUS              ,4264
201909   ,COD              ,2582
201909   ,ASA              ,170
201909   ,NIC              ,3850
201909   ,GNQ              ,262
201909   ,FSM              ,202
201908   ,CIV              ,1386
201908   ,SUR              ,325
201906   ,AIA              ,94
201906   ,NER              ,2079
202001   ,USA              ,819808
202001   ,PRK              ,7307
201905   ,TMP              ,249
201910   ,AGO              ,2683
201910   ,AIA              ,186
202001   ,MUS              ,1905
202001   ,WST              ,4985
202001   ,MDA              ,1978
202001   ,GNQ              ,407
202001   ,FSM              ,66
201906   ,PRI              ,1
202004   ,VCT              ,689
202004   ,CIV              ,1393
202004   ,EST              ,2422
202004   ,URY              ,2245
201903   ,USA              ,1022255
202002   ,EUR              ,53754
202002   ,JOR              ,14120
201904   ,SAS              ,1059
202005   ,GRC              ,17607
202005   ,COM              ,322
202005   ,SHN              ,21
201905   ,SAU              ,37323
201905   ,SRB              ,7186
201611   ,MDG              ,3162
201611   ,USA              ,1248541
201611   ,LBR              ,3560
201511   ,PRT              ,8927
201611   ,TUV              ,65
201610   ,BEL              ,40891
201610   ,DNK              ,13139
201511   ,SAS              ,1869
201707   ,AUS              ,72730
201707   ,PSE              ,40992
201707   ,CUB              ,10055
201707   ,NER              ,2562
201707   ,STP              ,105
201707   ,CRB              ,128
201708   ,VEN              ,54245
201708   ,SWE              ,13476
201708   ,VAT              ,3998
201708   ,NMR              ,4209
201608   ,GBR              ,186652
201608   ,LUX              ,1871
201608   ,MNG              ,1292
201905   ,PNG              ,1933
201704   ,BGR              ,9665
201703   ,ERI              ,1081
201704   ,MDG              ,1201
201703   ,VCT              ,878
201702   ,MAR              ,14932
201702   ,RUS              ,210860
201602   ,                 ,4356211
201701   ,SWE              ,19534
201702   ,KNA              ,664
201701   ,WST              ,10765
201701   ,LBY              ,20384
201702   ,AND              ,274
201701   ,NPL              ,7352
201701   ,IDN              ,37269
201511   ,VUT              ,304
201603   ,USA              ,1234551
201603   ,ITA              ,60665
201703   ,VUT              ,378
201703   ,NRU              ,224
201701   ,GRD              ,1032
