Year,EventBaseCode,Count
2018,071          ,1362228
2020,182          ,91922
2020,072          ,82242
2020,093          ,1022
2017,046          ,3531567
2017,026          ,441118
2017,141          ,797998
2017,087          ,472287
2017,181          ,181345
2017,054          ,78380
2016,143          ,68416
2016,012          ,1844810
2016,083          ,404069
2016,094          ,6093
2015,100          ,930826
2015,075          ,115018
2015,133          ,21248
2018,114          ,544185
2018,110          ,1577625
2018,141          ,727704
2018,053          ,29973
2018,126          ,128
2020,016          ,54791
2020,114          ,134081
2019,125          ,173570
2019,091          ,24927
2017,138          ,417108
2017,056          ,37528
2017,153          ,30721
2017,143          ,66851
2017,136          ,1039
2016,101          ,103831
2016,028          ,24005
2016,203          ,21070
2016,102          ,1854
2015,034          ,8349
2018,020          ,5733193
2020,057          ,282353
2020,194          ,49059
2017,055          ,118262
2017,041          ,379191
2016,061          ,628654
2017,044          ,108128
2017,196          ,9110
2015,151          ,13457
2018,031          ,414413
2018,033          ,316739
2018,052          ,98337
2015,094          ,4271
2020,033          ,112552
2020,113          ,6706
2020,181          ,30274
2020,122          ,8189
2020,165          ,8
2015,164          ,88404
2019,165          ,57
2020,020          ,1699660
2020,030          ,417791
2020,183          ,6042
2019,062          ,131646
2019,171          ,208991
2017,014          ,762927
2016,050          ,1234097
2017,038          ,12507
2016,103          ,4827
2016,073          ,507895
2015,031          ,378867
2016,144          ,20503
2015,105          ,46770
2015,102          ,1685
2019,092          ,3351
2019,184          ,347
2017,135          ,1
2020,024          ,9535
2019,012          ,1352080
2017,104          ,85036
2016,074          ,20598
2016,129          ,130398
2015,090          ,1870903
2015,186          ,150865
2018,021          ,169403
2015,126          ,107
2020,130          ,281719
2016,112          ,2443887
2017,133          ,27413
2016,111          ,2159533
2016,026          ,454523
2015,042          ,6750505
2015,130          ,862760
2018,062          ,147512
2018,085          ,35695
2020,180          ,137882
2020,092          ,1452
2019,186          ,111575
2017,010          ,8057162
2017,186          ,178298
2017,102          ,1867
2015,160          ,393254
2015,175          ,51512
2015,091          ,27244
2018,184          ,598
2019,203          ,16429
2020,038          ,2419
2020,195          ,34375
2020,106          ,855
2020,184          ,75
2017,062          ,192778
2017,106          ,5249
2015,071          ,1271617
2015,162          ,31182
2018,038          ,10160
2019,014          ,609982
2017,013          ,1574926
2017,130          ,1139178
2017,083          ,387746
2017,163          ,208783
2016,190          ,5128057
2016,191          ,82592
2016,038          ,15489
2015,152          ,25690
2018,010          ,7184681
2018,111          ,1740437
2018,057          ,1358914
2018,063          ,29235
