MonthYear,Actor1CountryCode,EventsMentions45up
201806   ,UZB              ,5
201502   ,FIN              ,4
201902   ,IRN              ,64
201902   ,AFG              ,38
201512   ,ARM              ,13
202002   ,FRA              ,67
202002   ,TWN              ,8
201810   ,MDA              ,6
201606   ,DEU              ,274
201606   ,SAS              ,2
201903   ,MLT              ,14
201804   ,UZB              ,6
201511   ,GTM              ,3
201602   ,BGD              ,5
201808   ,ARM              ,23
201808   ,NIC              ,9
201811   ,MOZ              ,2
201811   ,IND              ,19
201902   ,BGD              ,18
201510   ,SSD              ,11
201906   ,NER              ,3
201906   ,NPL              ,1
201910   ,FSM              ,2
201907   ,MDA              ,9
201511   ,GMB              ,1
201810   ,NAM              ,3
201809   ,ZWE              ,33
201604   ,CAF              ,4
201502   ,PRT              ,2
201802   ,CRI              ,2
201502   ,SEA              ,2
201512   ,KNA              ,1
201812   ,MCO              ,2
201809   ,AGO              ,4
201904   ,PAN              ,2
201710   ,WAF              ,1
202002   ,PRY              ,1
201809   ,GUY              ,2
201510   ,LIE              ,1
201504   ,MWI              ,1
201605   ,CAF              ,1
201511   ,CMR              ,1
201607   ,BHS              ,4
201905   ,DOM              ,1
202003   ,IRQ              ,30
201702   ,CHN              ,113
201702   ,PRK              ,84
201707   ,SRB              ,50
201607   ,USA              ,2635
201707   ,MDV              ,41
201608   ,CHL              ,36
201608   ,HTI              ,22
201610   ,PAK              ,74
201704   ,CHN              ,223
201704   ,SRB              ,63
201611   ,NRU              ,2
201704   ,HRV              ,14
201603   ,IRL              ,20
201610   ,SWE              ,44
201610   ,PRY              ,20
201701   ,CUB              ,81
201701   ,JOR              ,42
201708   ,KGZ              ,15
201708   ,AUT              ,23
201609   ,ITA              ,100
201606   ,GBR              ,524
201701   ,LVA              ,12
201608   ,MEA              ,3
201602   ,NOR              ,16
201705   ,COG              ,4
201610   ,MNG              ,2
201603   ,PER              ,49
201612   ,FJI              ,1
201701   ,LCA              ,2
201709   ,AFR              ,48
201608   ,GIN              ,4
201801   ,RUS              ,261
201711   ,PER              ,60
201711   ,AFR              ,58
201711   ,AZE              ,55
201802   ,OMN              ,15
201802   ,IND              ,25
201801   ,HTI              ,13
201804   ,IRL              ,37
201804   ,ARE              ,23
201804   ,ETH              ,25
201805   ,PRK              ,174
201805   ,SYR              ,104
201805   ,ECU              ,3
201802   ,FJI              ,1
201803   ,PAN              ,32
201804   ,NGA              ,9
201710   ,HTI              ,2
201805   ,DNK              ,24
201711   ,DMA              ,1
201601   ,COL              ,92
201507   ,CAN              ,175
201505   ,LTU              ,20
201512   ,YEM              ,107
201709   ,ABW              ,1
201506   ,NGA              ,47
201805   ,VUT              ,1
201603   ,GTM              ,30
201512   ,ISR              ,115
201602   ,NGA              ,15
201601   ,MLI              ,9
201608   ,ZMB              ,9
201712   ,QAT              ,13
201901   ,ESP              ,39
201901   ,POL              ,40
201506   ,CZE              ,16
201906   ,PGS              ,12
201505   ,QAT              ,31
201508   ,AZE              ,5
201503   ,LTU              ,9
201505   ,DNK              ,17
201601   ,MDV              ,27
201712   ,PGS              ,3
201603   ,KGZ              ,1
201604   ,MCO              ,12
201505   ,HUN              ,20
201811   ,ARG              ,42
201810   ,TUR              ,239
201906   ,SAU              ,39
201808   ,ESP              ,63
201808   ,SWE              ,23
201908   ,HRV              ,7
201909   ,USA              ,1027
201904   ,POL              ,30
201904   ,IRN              ,27
201904   ,IRQ              ,14
201607   ,AFG              ,106
201806   ,MMR              ,8
201908   ,TMP              ,4
201812   ,WST              ,25
201601   ,GMB              ,3
202002   ,JOR              ,22
201505   ,HTI              ,13
201508   ,TJK              ,2
201810   ,EST              ,9
201606   ,ERI              ,16
201804   ,ERI              ,2
201906   ,EGY              ,30
202003   ,HRV              ,1
201911   ,KEN              ,1
201508   ,MOZ              ,1
201507   ,TWN              ,5
201808   ,BLZ              ,4
201801   ,BEN              ,1
201811   ,AGO              ,6
201910   ,ARG              ,4
201906   ,MDA              ,14
201810   ,THA              ,7
201505   ,CIV              ,2
201502   ,VUT              ,1
201907   ,BGD              ,3
201903   ,MUS              ,1
201710   ,GTM              ,5
201910   ,BFA              ,2
201504   ,UGA              ,1
201811   ,PLW              ,1
201907   ,CUB              ,4
202001   ,BHS              ,2
201606   ,EAF              ,2
202003   ,TMP              ,1
201905   ,SYR              ,49
202005   ,GRC              ,15
202005   ,LUX              ,3
202005   ,BEL              ,7
202005   ,AGO              ,3
202005   ,HTI              ,3
201702   ,                 ,13166
201702   ,VAT              ,24
201701   ,USA              ,2310
201707   ,BGR              ,47
201707   ,WST              ,22
201708   ,PRY              ,14
201611   ,SGP              ,21
201611   ,BLR              ,18
201611   ,CMR              ,8
201511   ,ALB              ,14
201704   ,LBR              ,4
201703   ,AUT              ,35
201703   ,AUS              ,203
201703   ,MYS              ,47
201610   ,BLR              ,12
201706   ,UZB              ,6
201609   ,VEN              ,89
201609   ,LSO              ,4
201609   ,CHN              ,163
201609   ,BMU              ,3
201609   ,VNM              ,8
201609   ,MYS              ,16
201612   ,MCO              ,11
201612   ,AUT              ,29
201612   ,SSD              ,9
201708   ,GHA              ,1
201708   ,BRB              ,1
201701   ,NIC              ,37
201601   ,TUR              ,162
201607   ,GBR              ,402
201509   ,LBY              ,8
201705   ,PSE              ,89
201705   ,HRV              ,8
201703   ,SLE              ,3
201609   ,VCT              ,1
201601   ,COG              ,9
201508   ,TUR              ,156
201709   ,IRN              ,128
201709   ,GRC              ,75
201710   ,EUR              ,324
201710   ,COL              ,31
