MonthYear,Actor1CountryCode,InnerEvents
201807   ,SVK              ,300
201905   ,NLD              ,1227
201907   ,LAO              ,65
201811   ,NZL              ,1430
201811   ,CRI              ,57
201811   ,LCA              ,64
201902   ,BGD              ,1918
201902   ,IRN              ,5092
201901   ,POL              ,2800
201908   ,CAN              ,7554
201903   ,ZAF              ,633
201903   ,MMR              ,381
201903   ,PRY              ,266
201903   ,SEA              ,82
201809   ,SYR              ,9318
201908   ,TUR              ,4031
201606   ,LBY              ,2049
201812   ,BRA              ,2902
201812   ,ARM              ,1244
201810   ,COG              ,76
201809   ,ESP              ,3586
201809   ,EUR              ,2171
201810   ,KNA              ,16
201906   ,JAM              ,442
201901   ,NPL              ,591
201901   ,SWE              ,626
201901   ,TTO              ,162
201905   ,NIC              ,421
201904   ,MUS              ,123
201904   ,LBY              ,2681
201904   ,TTO              ,165
201904   ,URY              ,168
201911   ,EUR              ,1593
201911   ,GRC              ,2223
201910   ,KWT              ,250
201910   ,SEN              ,162
202001   ,ALB              ,281
202001   ,LBN              ,1596
202002   ,ARM              ,1125
202002   ,COD              ,90
202002   ,MWI              ,409
202002   ,SDN              ,1247
201908   ,NOR              ,901
201908   ,CZE              ,390
201908   ,SRB              ,233
201911   ,WSM              ,63
201808   ,ISL              ,59
201909   ,PLW              ,14
201809   ,BHS              ,95
201910   ,CAF              ,56
201606   ,CMR              ,240
201901   ,MHL              ,10
201912   ,UZB              ,232
201912   ,TON              ,18
201607   ,GEO              ,1
201902   ,SMR              ,1
202002   ,SMR              ,5
201908   ,ABW              ,1
201904   ,ASA              ,2
202003   ,USA              ,140298
202003   ,GAB              ,30
202002   ,SAU              ,1701
202004   ,AFG              ,4792
202004   ,BRB              ,115
202004   ,BMU              ,44
202004   ,STP              ,15
202004   ,POL              ,1145
202004   ,ERI              ,82
201904   ,NGA              ,7458
201904   ,NOR              ,649
201905   ,AZE              ,1047
201704   ,EGY              ,8931
201704   ,WSM              ,49
201703   ,ETH              ,701
201905   ,BHR              ,286
201702   ,TUR              ,10851
201702   ,LTU              ,679
201701   ,TCD              ,208
201702   ,CMR              ,247
201701   ,IRL              ,3405
201702   ,URY              ,173
201602   ,PHL              ,3395
201602   ,JPN              ,4569
201611   ,NZL              ,2265
201511   ,TWN              ,1435
201708   ,GHA              ,1420
201708   ,JAM              ,413
201708   ,CAN              ,7516
201604   ,GMB              ,318
201511   ,LKA              ,2482
201611   ,SMR              ,1
201610   ,MOZ              ,544
201610   ,SWZ              ,52
201703   ,PAN              ,445
201603   ,GRC              ,4078
201703   ,GNQ              ,12
201706   ,MUS              ,245
201606   ,CAN              ,10828
201607   ,IRL              ,2873
201608   ,GRD              ,39
201704   ,ASA              ,8
201604   ,SEA              ,231
201705   ,TWN              ,804
201609   ,AZE              ,1344
201609   ,MOZ              ,374
201609   ,KNA              ,30
201609   ,TMP              ,53
201612   ,BEN              ,84
201512   ,CHE              ,1799
201601   ,BGD              ,1917
201701   ,VAT              ,58
201701   ,NMR              ,41
201602   ,LKA              ,1438
201608   ,MHL              ,16
201509   ,MDV              ,520
201705   ,CMR              ,236
201705   ,MDG              ,48
201705   ,TON              ,44
201605   ,FRA              ,10581
201805   ,ESP              ,5110
201805   ,EST              ,297
201805   ,HND              ,327
201709   ,GUY              ,232
201709   ,SEN              ,389
201711   ,ZAF              ,1166
201711   ,BEL              ,2678
201711   ,KOR              ,3634
201711   ,CYP              ,703
201711   ,IRL              ,2787
201711   ,NER              ,294
201711   ,PRT              ,757
201710   ,PSE              ,5884
201803   ,MCO              ,116
201802   ,AUS              ,8000
201802   ,UZB              ,344
201509   ,SWE              ,962
201509   ,MMR              ,765
201712   ,AGO              ,388
201712   ,CMR              ,312
201701   ,MHL              ,10
201601   ,UKR              ,8014
201505   ,LBN              ,2241
201507   ,FRA              ,10646
201511   ,AZE              ,1155
201512   ,CRI              ,218
201502   ,ISR              ,3306
201504   ,IRL              ,2318
201510   ,TUN              ,810
201511   ,MKD              ,480
201507   ,SRB              ,623
201502   ,GHA              ,395
201505   ,LVA              ,464
201505   ,SEN              ,367
201512   ,TJK              ,169
201508   ,BFA              ,85
201507   ,MOZ              ,362
201605   ,VAT              ,131
201605   ,BLZ              ,253
201502   ,MOZ              ,88
201508   ,BRN              ,105
201503   ,BHS              ,221
201501   ,SAU              ,33
201504   ,PRY              ,98
201603   ,GNQ              ,83
201504   ,BFA              ,112
201504   ,CYM              ,25
201511   ,MAC              ,1
201802   ,KHM              ,824
201510   ,DMA              ,15
201804   ,NAM              ,255
202006   ,RUS              ,1768
201710   ,URY              ,191
202006   ,SDN              ,121
202006   ,MOZ              ,41
201501   ,CRI              ,1
201501   ,MRT              ,2
201906   ,DEU              ,6937
201503   ,MAC              ,1
201807   ,IDN              ,3125
201807   ,MDV              ,166
201807   ,THA              ,1148
201807   ,EGY              ,3694
201807   ,GMB              ,152
201807   ,ISL              ,55
201806   ,MYS              ,2243
201811   ,BGD              ,1577
201711   ,LIE              ,3
201902   ,MUS              ,157
201901   ,VEN              ,7579
201909   ,FRA              ,7045
201909   ,JOR              ,557
201809   ,KWT              ,492
201903   ,FIN              ,616
201903   ,TWN              ,780
201903   ,VAT              ,97
201903   ,BTN              ,73
201812   ,SDN              ,1253
201812   ,AFR              ,1199
201812   ,SLV              ,202
201812   ,GIN              ,99
201812   ,UZB              ,153
201809   ,MKD              ,1333
201809   ,SOM              ,570
201906   ,NOR              ,756
201901   ,IRL              ,3143
201812   ,BEN              ,47
201901   ,BLR              ,539
201901   ,ESP              ,3713
201901   ,DJI              ,35
201901   ,GRD              ,17
201901   ,PNG              ,78
201906   ,TWN              ,677
201905   ,MUS              ,235
201905   ,COM              ,10
201806   ,SEN              ,317
201806   ,TMP              ,21
201911   ,ZWE              ,786
201910   ,CMR              ,364
201910   ,ISL              ,56
201904   ,ERI              ,71
201906   ,JOR              ,697
201906   ,COK              ,35
202001   ,ITA              ,2852
202002   ,AZE              ,735
202002   ,NGA              ,6770
201908   ,VUT              ,41
201908   ,WAF              ,22
201801   ,FSM              ,9
201808   ,MWI              ,471
201809   ,JOR              ,816
201809   ,BRN              ,22
201809   ,NRU              ,148
202006   ,BMU              ,9
201912   ,JAM              ,349
201912   ,TUN              ,350
201709   ,SMR              ,2
202006   ,AND              ,1
202003   ,SWE              ,632
202003   ,SLB              ,37
202004   ,KWT              ,354
202004   ,BRA              ,2758
202004   ,IRN              ,2674
202004   ,MWI              ,240
202005   ,KAZ              ,215
202005   ,SOM              ,430
201905   ,AFR              ,1458
201704   ,GUY              ,351
201704   ,CZE              ,779
201703   ,YEM              ,2399
201703   ,CHE              ,2145
201703   ,GBR              ,30982
201701   ,JPN              ,5553
201701   ,RUS              ,21471
201611   ,ECU              ,792
201611   ,BRA              ,2717
201611   ,RWA              ,471
201611   ,KNA              ,16
201611   ,DMA              ,27
201611   ,GEO              ,5
201708   ,VCT              ,37
201708   ,SEA              ,380
201707   ,IND              ,6157
201707   ,PHL              ,4497
201604   ,RWA              ,599
201511   ,LSO              ,213
201706   ,CHN              ,13745
201706   ,POL              ,2014
201703   ,KEN              ,2468
201703   ,UZB              ,353
201703   ,FIN              ,977
201703   ,SLE              ,266
201706   ,SOM              ,1180
201606   ,THA              ,1883
201706   ,IRQ              ,4740
201705   ,PHL              ,6305
201608   ,ITA              ,6092
201608   ,BHS              ,154
201608   ,BLR              ,805
201508   ,FIN              ,633
201612   ,SAU              ,3907
201508   ,FJI              ,402
201701   ,ARM              ,1201
201701   ,ETH              ,438
201701   ,NIC              ,351
201707   ,PAN              ,476
201609   ,SLB              ,45
201609   ,SEN              ,333
201609   ,ECU              ,530
201707   ,BRN              ,53
201707   ,SVK              ,302
201707   ,HUN              ,1139
201708   ,WST              ,35
201707   ,VEN              ,5548
201707   ,LTU              ,366
201509   ,BWA              ,140
201603   ,SLV              ,136
201707   ,WSM              ,63
201706   ,STP              ,8
201612   ,NAM              ,262
201510   ,LKA              ,2270
201601   ,IDN              ,4377
201512   ,IRN              ,4193
201602   ,LVA              ,325
