Year,Actor1CountryCode,Count
2016,NAF              ,37
2019,GMB              ,22719
2019,PNG              ,19241
2019,MDA              ,40721
2017,LBR              ,36851
2017,EST              ,65484
2016,UZB              ,43833
2016,SAF              ,3913
2016,BWA              ,28050
2018,CAN              ,1063251
2018,SYR              ,859677
2018,LSO              ,10756
2016,GTM              ,52394
2018,TUV              ,1068
2015,MDA              ,41396
2015,BOL              ,90011
2016,BLK              ,1
2019,SAU              ,438772
2019,VEN              ,397727
2020,TUV              ,241
2019,THA              ,127194
2019,NAM              ,29132
2017,TUN              ,101809
2017,IRL              ,356995
2016,FRA              ,1408930
2018,EGY              ,497663
2018,SDN              ,110807
2018,MEA              ,12090
2016,CPV              ,4390
2015,ITA              ,565671
2015,AFR              ,517270
2015,ISR              ,967299
2015,SAU              ,627978
2015,GAB              ,8633
2015,MAC              ,996
2015,PRI              ,9
2020,USA              ,3295566
2020,NOR              ,30685
2020,CHL              ,25497
2020,LTU              ,19090
2020,MKD              ,11408
2020,BEN              ,3768
2020,MHL              ,854
2019,MYS              ,193698
2019,SSD              ,29552
2019,DJI              ,10672
2017,KOR              ,491116
2017,BTN              ,19421
2017,GRC              ,397680
2017,WAF              ,10583
2017,SVK              ,48081
2017,GRD              ,11908
2016,BTN              ,16904
2016,IRN              ,1026163
2016,LKA              ,128701
2018,VUT              ,6730
2018,TON              ,11531
2018,FSM              ,2366
2018,MAC              ,1266
2016,TCD              ,44629
2015,ZMB              ,50664
2015,LBR              ,39806
2020,IND              ,206729
2020,AUS              ,239988
2019,COM              ,2947
2019,DMA              ,5272
2017,NZL              ,189872
2017,AUT              ,134626
2017,CAN              ,1035880
2016,                 ,53951789
2017,CUB              ,166254
2017,UGA              ,108962
2017,TGO              ,18766
2016,GBR              ,2467382
2016,BRB              ,17706
2016,GIN              ,32242
2018,SEN              ,44135
2018,YEM              ,188785
2018,AGO              ,43667
2015,PHL              ,348367
2015,IRN              ,927282
2015,LTU              ,71775
2015,SYR              ,1049346
2015,GHA              ,114620
2015,BRN              ,25237
2015,PGS              ,10216
2015,SUR              ,3941
2020,ITA              ,230581
2020,BEL              ,54283
2020,ZAF              ,45566
2020,NLD              ,52055
2020,CUB              ,35209
2020,LBN              ,45718
2020,HND              ,11026
2019,TCD              ,29160
2019,PAK              ,666759
2019,MUS              ,39795
2017,BFA              ,28439
2016,ZAF              ,205727
2016,NZL              ,215706
2016,URY              ,57028
2016,DJI              ,23019
2015,EST              ,45253
2015,FJI              ,33744
2019,MAC              ,2961
2020,MUS              ,7935
2020,AFG              ,107435
2020,SWE              ,41889
2019,GBR              ,2063478
2020,BMU              ,3534
2020,HTI              ,7076
2019,FIN              ,96637
2016,WSM              ,11352
2018,DNK              ,127368
2018,NMR              ,59408
2018,SAF              ,4267
2015,KHM              ,62713
2015,HRV              ,98927
2019,KNA              ,10386
2020,JAM              ,17392
2020,AIA              ,415
2019,FRA              ,968059
2017,UKR              ,833416
2017,DMA              ,8759
2016,AND              ,3933
2018,LIE              ,2220
2018,CMR              ,40125
2018,BTN              ,13287
2015,IND              ,613327
2015,NOR              ,122219
2015,RUS              ,1888662
2015,SEA              ,64417
2016,COM              ,3269
2015,SGP              ,115750
2015,THA              ,176641
2015,PLW              ,4304
2015,KGZ              ,47637
2015,CPV              ,3046
2019,CPV              ,2909
2019,BLZ              ,15719
2019,NAF              ,15
2020,STP              ,455
2017,BLR              ,149870
2017,PSE              ,508573
2017,DNK              ,140631
2017,SAS              ,20515
2016,KOR              ,417365
2017,ISL              ,26541
2017,MEA              ,18768
2016,SYC              ,9118
2016,TWN              ,126231
2016,TUN              ,128781
2018,NLD              ,216801
2018,PAN              ,64409
2016,GEO              ,1148
2016,MEA              ,21070
2015,VEN              ,254463
2015,GMB              ,22455
2015,UZB              ,32580
2020,NMR              ,13675
2020,SSD              ,7758
2019,MLI              ,55516
2017,LBN              ,282430
2016,COL              ,325138
2017,CIV              ,31153
2016,AGO              ,46264
2016,JOR              ,279702
2016,TUR              ,1741410
2016,LTU              ,74430
2016,ALB              ,124254
2016,CAN              ,1067800
2018,COL              ,225731
2018,BFA              ,21255
2018,ERI              ,34685
2018,KIR              ,2523
2016,MAC              ,1557
2016,PLW              ,4637
2015,AND              ,3518
2015,CRI              ,22898
2019,SLB              ,9235
2019,SYC              ,8034
2019,VAT              ,49715
2020,ABW              ,525
2020,TMP              ,1169
2019,NOR              ,119229
2017,FRA              ,1214440
2017,CMR              ,42571
2017,DOM              ,39165
2017,BDI              ,26531
2017,SUR              ,4724
2017,CRB              ,2095
2016,ASA              ,5437
2016,MLI              ,72210
2018,CYP              ,69447
2018,QAT              ,131664
2018,LBR              ,29814
2018,MRT              ,21830
2015,BLR              ,132654
2019,SAM              ,262
2018,CAU              ,7
2020,YEM              ,23375
2020,MNG              ,4828
2020,ZMB              ,8612
2020,SAF              ,573
2019,BOL              ,90056
2019,MAR              ,88106
2017,BHS              ,33769
2017,MKD              ,169188
2016,MDA              ,84128
2018,LAM              ,540
2018,BRN              ,17706
2018,VCT              ,8736
2018,GAB              ,10897
2015,OMN              ,63770
2015,LVA              ,54526
2019,LIE              ,1552
2019,ROM              ,12
2019,AUT              ,99126
2020,BFA              ,5528
2019,MDV              ,112329
2019,COL              ,188130
2017,WST              ,116746
2017,TMP              ,5149
2017,ARM              ,159442
2016,IDN              ,460413
2018,WSM              ,12940
2018,BEL              ,309774
2018,BLZ              ,22700
2018,TTO              ,26909
2015,SDN              ,136281
2015,CAU              ,11
2019,HKG              ,2247
2020,WLF              ,31
2020,MDA              ,9038
2020,LSO              ,4782
2020,GNB              ,1313
2020,LIE              ,486
2019,CZE              ,79657
2019,VNM              ,205570
2017,PNG              ,23404
2017,YEM              ,290650
2017,NPL              ,84854
2017,AGO              ,44564
2017,CPV              ,4164
2017,WLF              ,61
2018,IDN              ,376484
2018,NZL              ,209541
2018,MHL              ,3637
2018,SAM              ,305
2015,HKG              ,5195
2015,HTI              ,45947
2019,SCN              ,176
2019,EEU              ,6
2020,SAU              ,96846
2020,LVA              ,11215
2019,AFG              ,366927
2017,AZE              ,155868
2018,MEX              ,625940
2018,KEN              ,200404
2015,DEU              ,965950
2015,MLT              ,38472
2015,YEM              ,334622
2020,TUN              ,18105
2020,GUY              ,9272
2020,ARM              ,32278
2019,OMN              ,52338
2017,JPN              ,617004
2016,MAR              ,181157
2016,ERI              ,22213
2016,EST              ,57022
2016,MEX              ,687303
2018,KOR              ,449084
2018,MDA              ,59193
2018,CAF              ,15495
2016,TGO              ,15634
2018,ASA              ,4382
2015,MCO              ,44560
2016,SHN              ,566
2016,ROM              ,155
2020,IRQ              ,127399
2020,VNM              ,46250
2019,QAT              ,101886
2019,PHL              ,293005
2017,SWE              ,228087
2017,COD              ,42860
2016,PSE              ,465863
2017,KIR              ,2527
2018,BRA              ,338159
2018,JOR              ,235933
2018,ETH              ,108965
2018,TWN              ,95000
2015,AUS              ,870443
2015,NAM              ,34749
2015,NPL              ,121169
2015,VNM              ,184663
2015,CHL              ,127394
2015,ECU              ,73327
2015,STP              ,2253
2020,PHL              ,88538
2020,MLI              ,17052
2019,TWN              ,91231
2017,ALB              ,149833
2017,PLW              ,5572
2016,HUN              ,131306
2017,VUT              ,5599
2016,HTI              ,61567
2016,ISL              ,34649
2016,MHL              ,3618
2018,PER              ,170639
2018,SLB              ,5584
2018,WAF              ,6775
2015,PRT              ,90315
2015,HUN              ,151985
2015,GTM              ,49915
2020,CHN              ,541656
2020,PNG              ,3445
2019,ITA              ,572550
2019,KGZ              ,43751
2017,FIN              ,131219
2017,TCD              ,43005
2017,MUS              ,53147
2017,CAS              ,1369
2017,DJI              ,20981
2016,HKG              ,6510
2018,GRC              ,425918
2018,HKG              ,3360
2018,URY              ,37551
2018,DJI              ,20007
2015,IRL              ,289410
2015,SCN              ,143
2020,DOM              ,7079
2020,BRA              ,86828
2020,ZWE              ,25999
2020,ETH              ,28567
2019,SEA              ,45421
2019,ESP              ,490884
2019,WST              ,75474
2019,FJI              ,21932
2017,QAT              ,289637
2017,ZAF              ,192371
2017,HTI              ,42504
2017,PAN              ,84152
2017,GTM              ,53752
2017,CRI              ,22072
2018,ZAF              ,175310
2018,MOZ              ,24687
2016,SCN              ,153
2019,SWZ              ,3407
2019,CHE              ,194023
2020,GNQ              ,1326
2019,YEM              ,109127
2019,NGA              ,612776
2019,SDN              ,131949
2017,URY              ,48776
2017,KHM              ,72211
2017,MEX              ,658148
2017,SYC              ,7185
2018,USA              ,12252871
2018,SYC              ,10117
2015,SAS              ,18144
2015,LKA              ,142011
2015,ARE              ,163866
2015,SWZ              ,8048
2015,SMR              ,1045
2015,DOM              ,37233
2019,CRB              ,2018
2020,BOL              ,16867
2020,WAF              ,1725
2020,WSM              ,1732
2020,GMB              ,7199
2020,SMR              ,177
2019,WSM              ,9569
2017,GAB              ,11502
2017,TUV              ,1346
2016,CUB              ,302123
2016,LBR              ,44343
2018,LKA              ,110342
2018,MCO              ,44670
2018,AND              ,3827
2018,AIA              ,1631
2016,BLZ              ,27755
2015,MYS              ,271950
2015,MKD              ,60310
2015,GUY              ,36020
2019,URY              ,36533
2019,EAF              ,734
2020,DNK              ,25868
2020,CPV              ,932
2019,USA              ,11086784
2020,SGP              ,38880
2019,MEX              ,554872
2020,LAM              ,105
2019,BGR              ,109845
2019,DOM              ,30407
2019,SLE              ,13576
2017,CZE              ,113458
2017,LSO              ,10045
2016,MUS              ,56462
2018,MAR              ,114474
2018,MUS              ,44402
2018,BOL              ,76242
2015,SOM              ,112261
2015,MNG              ,20193
2015,CAS              ,1559
2020,CIV              ,5704
2020,VCT              ,2522
2019,GRC              ,300905
2020,SLB              ,1939
2020,LBR              ,8202
2019,KEN              ,170960
2019,MLT              ,45906
2019,ZMB              ,30375
2016,LBN              ,254276
2017,KWT              ,111356
2017,BRA              ,358391
2017,ERI              ,13458
2016,RUS              ,2467671
2016,EGY              ,916203
2017,TKM              ,24610
2018,NAM              ,31375
2015,KOR              ,291596
2015,AUT              ,178976
2016,WLF              ,95
2020,HKG              ,729
2019,ARM              ,127675
2019,PSE              ,318258
2017,VEN              ,383792
2017,MMR              ,169920
2017,PRY              ,34238
2017,JAM              ,63510
2017,BEN              ,15019
2016,THA              ,181817
2016,ESP              ,641155
2016,AZE              ,210212
2016,UKR              ,963136
2016,CRB              ,2378
2016,MDG              ,17165
2018,DOM              ,33056
2018,BDI              ,19125
2015,JPN              ,515302
2015,PSE              ,414725
2015,LSO              ,8729
2020,VAT              ,13124
2019,JAM              ,55860
2019,DZA              ,79650
2019,CAN              ,895262
2019,NER              ,25903
2017,GHA              ,163562
2017,MAR              ,149215
2017,COL              ,254452
2017,NAM              ,26552
2016,SEA              ,89429
2017,LAM              ,343
2016,NMR              ,53077
2018,ESP              ,617321
2018,PAK              ,638531
2018,PNG              ,24568
2015,GNQ              ,3794
2015,MHL              ,3958
2015,LAM              ,482
2019,TGO              ,7422
2019,KOR              ,356053
2020,UGA              ,24488
2020,BLR              ,33275
2019,HUN              ,98124
2019,LCA              ,10750
2019,BFA              ,20607
2017,MYS              ,278537
2017,SLB              ,5958
2017,SSD              ,59911
2017,DZA              ,103775
2018,AFR              ,543688
2018,UKR              ,783886
2018,FIN              ,134727
2018,LBN              ,189352
2018,SCN              ,149
2015,LBN              ,224841
2015,KAZ              ,70476
2015,WAF              ,6342
2015,DMA              ,6877
2017,ROM              ,33
2019,ATG              ,5549
2019,NLD              ,190820
2017,MDV              ,170753
2017,PHL              ,486608
2017,BWA              ,22680
2017,IDN              ,422641
2016,ARG              ,279751
2016,SUR              ,4885
2018,SLV              ,43787
2018,CIV              ,20515
2018,SWZ              ,5417
2016,SEN              ,54044
2015,USA              ,10826129
2015,GRC              ,564006
2015,NLD              ,233551
2015,COL              ,224837
2015,MLI              ,69593
2015,COM              ,1610
2019,TMP              ,4541
2020,CYM              ,1507
2020,PRK              ,29977
2020,SYR              ,133780
2020,GIN              ,6661
2020,ALB              ,11646
2019,ARE              ,158541
2019,UKR              ,827478
2017,TUR              ,1230241
2017,CHL              ,157787
2016,SWE              ,265347
2016,BOL              ,97161
2016,MDV              ,186914
2018,PRT              ,121625
2018,IRN              ,795390
2018,GNB              ,4152
2016,COK              ,3474
2016,MOZ              ,38716
2015,CAN              ,802131
2015,TWN              ,86916
2015,RWA              ,52253
2015,GNB              ,5272
2019,MKD              ,97204
2019,SYR              ,526677
2019,BLR              ,108131
2017,PRK              ,558596
2017,LBY              ,204268
2017,ECU              ,77760
2017,LTU              ,73304
2017,GEO              ,1616
2016,COD              ,51259
2018,ISR              ,1214257
2018,LTU              ,67832
2018,GNQ              ,6232
2015,BGR              ,130330
2015,TKM              ,36258
2015,JAM              ,58010
2020,FRA              ,248181
2020,MEX              ,128656
2020,MLT              ,9985
2020,UZB              ,7768
2019,CUB              ,125834
2020,ISL              ,4331
2017,NLD              ,268331
2017,MLI              ,70317
2017,LCA              ,10444
2016,SYR              ,1493267
2016,NLD              ,307115
2016,FJI              ,44483
2016,CYP              ,101658
2018,DZA              ,76404
2018,NER              ,28837
2015,FRA              ,1241366
2015,PRY              ,33042
2015,BEL              ,256557
2015,PNG              ,16218
2015,EAF              ,1805
2015,ERI              ,18720
2015,NAF              ,12
2019,TUV              ,2986
2019,TTO              ,22880
2019,ASA              ,3107
2020,OMN              ,15967
2020,MAR              ,25579
2020,TCD              ,11596
2020,MWI              ,7999
2019,AUS              ,714588
2020,AGO              ,9988
2020,PLW              ,1308
2020,SYC              ,2678
2019,LBY              ,123873
2019,MHL              ,4659
2019,IDN              ,347673
2017,CHE              ,285608
2016,VAT              ,79048
2016,KWT              ,120044
2016,GUY              ,42685
2016,LVA              ,59479
2016,DZA              ,133318
2018,AUS              ,894417
2018,KNA              ,7820
2015,CYP              ,72339
2019,UZB              ,30090
