MonthYear,Actor2Name                     ,Count
201608   ,IBN AL KHATTAB                 ,3
201610   ,SAKHALIN                       ,61
201610   ,KARELIA                        ,63
201708   ,MECHEL                         ,23
201706   ,OMSK                           ,155
201703   ,TAMBOV                         ,21
201705   ,VOLGA                          ,75
201706   ,PERM KRAI                      ,12
201708   ,SAKHA                          ,29
201612   ,VOLGOGRAD                      ,126
201612   ,IGOR SECHIN                    ,118
201901   ,MIKHAIL GORBACHEV              ,131
201701   ,TAMBOV                         ,15
201707   ,TSARITSYN                      ,1
201803   ,IGOR SECHIN                    ,38
201710   ,MURMANSK                       ,91
201705   ,IBN AL KHATTAB                 ,1
201611   ,NALCHIK                        ,2
201706   ,AMUR OBLAST                    ,4
201801   ,URALS                          ,80
201805   ,ST PETERSBURG                  ,1425
201805   ,CHELYABINSK                    ,174
201804   ,VOLGOGRAD                      ,120
201804   ,IVANOVO                        ,31
201710   ,IGOR SHUVALOV                  ,4
201805   ,NEVA                           ,40
201605   ,VLADIVOSTOK                    ,269
201605   ,NIZHNY NOVGOROD                ,65
201605   ,NEVA                           ,70
201604   ,VORONEZH                       ,65
201507   ,KHAKASSIA                      ,61
201601   ,KALININGRAD                    ,270
201509   ,CHECHNYA                       ,321
201510   ,ASTRAKHAN                      ,88
202001   ,KRASNOYARSK                    ,92
202002   ,NIZHNY NOVGOROD                ,48
201508   ,SARATOV                        ,54
201509   ,KARELIA                        ,53
201510   ,MUHANNAD                       ,194
201911   ,IVANOVO                        ,27
202002   ,ASTRAKHAN                      ,34
201907   ,RUSSIAN                        ,32335
201907   ,SERGEY LAVROV                  ,93
201703   ,GORKIY                         ,4
201505   ,URALS                          ,60
201507   ,SVERDLOVSK                     ,113
201601   ,SMOLENSK                       ,61
201510   ,KIROV                          ,80
201712   ,SAKHALIN                       ,53
201712   ,ELVIRA NABIULLINA              ,10
201903   ,VOLGOGRAD                      ,90
201908   ,VLADIMIR                       ,2782
201811   ,ALTAI                          ,49
201811   ,KRASNODAR                      ,190
201811   ,VLADIVOSTOK                    ,112
201811   ,BORIS GRYZLOV                  ,1
201511   ,ARKHANGELSK                    ,19
201504   ,PRIMORSKY                      ,3
201601   ,MIKHAIL LESIN                  ,8
201510   ,ALTAI                          ,43
201602   ,GROZNY                         ,39
201503   ,VIMPELCOM                      ,58
201807   ,PENZA                          ,28
201810   ,SVERDLOVSK                     ,63
201809   ,CHELYABINSK                    ,201
201803   ,CHUVASHIA                      ,6
201806   ,SAKHA                          ,12
201506   ,NIKOLAY PATRUSHEV              ,7
201603   ,IRKUTSK                        ,68
201506   ,PENZA                          ,19
201909   ,PENZA                          ,13
201807   ,ROSTOV                         ,75
201912   ,NOVOSIBIRSK                    ,152
201807   ,ELVIRA NABIULLINA              ,4
201603   ,SERGEY SOBYANIN                ,2
201607   ,GORKY                          ,9
201603   ,OPEN JOINT STOCK COMPANY       ,4
201905   ,VOLKHOV                        ,1
201601   ,CHUKOTKA                       ,12
201805   ,MOSKVA                         ,9
201508   ,NIZHNI NOVGOROD                ,3
202002   ,KEMEROVO                       ,27
201902   ,ADYGEA                         ,11
201504   ,ST. PETERSBURG                 ,10
201603   ,GROZNYY                        ,3
202003   ,NIZHNI NOVGOROD                ,2
202003   ,ONEGA                          ,1
201806   ,IGOR SHUVALOV                  ,6
201903   ,KABARDINO BALKAR               ,1
