MonthYear,Actor2Name                        ,Count
201603   ,HALLE                             ,103
201602   ,NUREMBERG                         ,92
201605   ,HAMBURG                           ,525
201505   ,ESSEN                             ,31
201803   ,HANOVER                           ,665
201802   ,RUHR                              ,30
201508   ,THOMAS DE MAIZIERE                ,80
201705   ,BRUNSWICK                         ,382
201801   ,HELMUT KOHL                       ,7
202001   ,BREMEN                            ,59
201507   ,SIEMENS AG                        ,19
201710   ,ESSEN                             ,52
201512   ,ESSEN                             ,32
201607   ,DEUTSCHE BANK                     ,418
201812   ,DANAU                             ,4
201810   ,GERMANY                           ,32252
201810   ,DEUTSCHE                          ,216
201811   ,HANOVER                           ,434
202002   ,HANOVER                           ,418
201701   ,ROMAN HERZOG                      ,22
201809   ,BREMERHAVEN                       ,33
201912   ,BUNDESTAG                         ,271
201804   ,DANUBE RIVER                      ,7
201906   ,FRANKFURT                         ,413
201906   ,GERHARD SCHROEDER                 ,5
201908   ,THURINGIA                         ,25
201601   ,NORBERT ROETTGEN                  ,4
201905   ,RUHR                              ,8
201904   ,MANNHEIM                          ,13
201505   ,PALATINATE                        ,14
201508   ,HANNOVER                          ,23
201507   ,RUHR VALLEY                       ,1
201603   ,PFALZ                             ,6
201604   ,GERHARD SCHROEDER                 ,2
201810   ,THURINGIA                         ,39
201807   ,PFALZ                             ,1
201505   ,WOLFGANG ISCHINGER                ,5
201510   ,RHEINLAND                         ,3
201511   ,RONALD POFALLA                    ,1
201501   ,DRESDEN                           ,11
201903   ,ROSTOCK                           ,20
201605   ,AKEN                              ,2
201502   ,RUHR                              ,2
201801   ,BODENSEE                          ,1
201504   ,NECKAR RIVER                      ,1
202002   ,RUHR VALLEY                       ,1
201607   ,DANAU                             ,1
201905   ,SABINE LEUTHEUSSER SCHNARRENBERGER,2
202004   ,ANGELA MERKEL                     ,726
202003   ,DEUTSCHE BANK                     ,73
201904   ,BERLIN                            ,3922
202005   ,DUSSELDORF                        ,18
202005   ,STUTTGART                         ,11
201608   ,BONN                              ,108
201708   ,AACHEN                            ,26
201704   ,HALLE                             ,78
201703   ,DEUTSCHLAND                       ,79
201603   ,COLOGNE                           ,584
201701   ,DEUTSCHE                          ,386
201709   ,COMMERZBANK                       ,95
201609   ,DER SPIEGEL                       ,74
201610   ,AACHEN                            ,38
201510   ,LEIPZIG                           ,160
201711   ,ANGELA MERKEL                     ,1223
201612   ,HAMBURG                           ,1721
201503   ,DORTMUND                          ,116
201507   ,MUNICH                            ,953
201505   ,MANNHEIM                          ,70
201502   ,MUNICH                            ,336
201504   ,KOLN                              ,5
201601   ,DRESDEN                           ,123
201505   ,COLOGNE                           ,256
201803   ,HAMBURG                           ,537
201708   ,HELMUT SCHMIDT                    ,5
201503   ,COLOGNE                           ,337
201506   ,PFALZ                             ,2
201509   ,LOWER SAXONY                      ,53
201609   ,SIEMENS AG                        ,17
201801   ,FRANKFURT                         ,521
201710   ,DRESDEN                           ,174
201711   ,ILSE AIGNER                       ,6
201807   ,RUHR                              ,39
201807   ,DUSSELDORF                        ,35
201807   ,DEUTSCHE                          ,162
201812   ,AACHEN                            ,34
201505   ,BREMEN                            ,146
201703   ,RUHR VALLEY                       ,3
201910   ,COLOGNE                           ,353
201909   ,GERMANY                           ,27109
201806   ,COMMERZBANK                       ,153
202005   ,WEIMAR                            ,6
202005   ,BRAUNSCHWEIG                      ,3
201910   ,RHEINLAND                         ,9
201503   ,DZ BANK                           ,5
201811   ,BONN                              ,189
201811   ,THURINGIA                         ,19
