MonthYear,EventRootCode,SumNumMentions,AvgNumMentions
201505   ,17           ,110           ,4.3999999999999995
201701   ,18           ,39            ,5.5714285714285721
201909   ,04           ,916           ,3.2027972027972034
201909   ,11           ,745           ,3.9417989417989414
201906   ,07           ,100           ,5.2631578947368425
201712   ,17           ,50            ,4.545454545454545
201810   ,19           ,172           ,4.9142857142857137
201503   ,08           ,44            ,6.2857142857142856
201611   ,18           ,30            ,3.0
201812   ,10           ,12            ,6.0
201502   ,18           ,2             ,1.0
201902   ,09           ,14            ,4.666666666666667
201604   ,16           ,10            ,5.0
201705   ,03           ,279           ,5.9361702127659575
201701   ,19           ,831           ,5.5399999999999991
201601   ,09           ,71            ,5.9166666666666661
201507   ,01           ,136           ,3.0909090909090913
201512   ,05           ,168           ,4.0975609756097562
201506   ,05           ,269           ,4.2031250000000018
201510   ,01           ,171           ,3.5625
201504   ,01           ,802           ,4.2659574468085122
201802   ,02           ,566           ,6.7380952380952381
201810   ,01           ,380           ,4.8717948717948723
201806   ,13           ,38            ,9.5
201905   ,10           ,20            ,10.0
201506   ,17           ,54            ,6.75
201903   ,01           ,184           ,3.6078431372549016
201812   ,05           ,175           ,5.0
201804   ,07           ,18            ,4.5
201805   ,16           ,22            ,7.333333333333333
201811   ,14           ,14            ,3.5
201802   ,20           ,87            ,5.117647058823529
201610   ,19           ,71            ,5.916666666666667
201609   ,19           ,291           ,3.6375
201801   ,04           ,1312          ,5.333333333333333
201508   ,04           ,1198          ,4.3722627737226274
201604   ,12           ,46            ,7.666666666666667
201508   ,16           ,18            ,4.5
201807   ,11           ,227           ,5.675
201808   ,11           ,382           ,4.8974358974358978
201607   ,06           ,116           ,4.4615384615384617
201902   ,02           ,176           ,4.2926829268292686
201802   ,04           ,1660          ,4.20253164556962
202001   ,03           ,162           ,2.8928571428571428
201902   ,06           ,129           ,4.161290322580645
201911   ,14           ,10            ,5.0
201705   ,13           ,16            ,4.0
202004   ,20           ,10            ,10.0
201708   ,02           ,655           ,6.8947368421052628
201702   ,03           ,372           ,4.5365853658536581
201801   ,01           ,999           ,8.91964285714286
201701   ,03           ,230           ,4.8936170212765955
201709   ,04           ,1071          ,4.1673151750972774
201709   ,12           ,179           ,5.2647058823529411
201502   ,19           ,26            ,3.25
201508   ,18           ,38            ,3.4545454545454546
201712   ,09           ,52            ,6.5
201912   ,04           ,987           ,4.0954356846473026
201809   ,01           ,318           ,4.0253164556962027
201805   ,10           ,12            ,6.0
202002   ,17           ,46            ,3.833333333333333
201609   ,09           ,23            ,2.875
201702   ,18           ,8             ,4.0
201706   ,16           ,3             ,3.0
202005   ,14           ,18            ,6.0
201704   ,04           ,579           ,4.8655462184873945
201507   ,18           ,26            ,8.6666666666666661
201512   ,14           ,18            ,2.5714285714285716
201511   ,17           ,40            ,2.6666666666666665
201807   ,02           ,318           ,3.4193548387096779
201912   ,11           ,190           ,4.8717948717948723
201809   ,08           ,206           ,4.7906976744186043
201808   ,09           ,18            ,3.0
201905   ,14           ,13            ,3.25
202003   ,08           ,376           ,5.875
202003   ,05           ,157           ,4.90625
201703   ,04           ,1305          ,4.9060150375939839
201706   ,02           ,202           ,3.4827586206896552
201506   ,04           ,1063          ,4.8538812785388128
201602   ,01           ,471           ,4.8061224489795924
201510   ,08           ,52            ,4.7272727272727275
201911   ,17           ,96            ,4.0
201603   ,16           ,16            ,8.0
201712   ,04           ,333           ,4.1111111111111116
201807   ,09           ,18            ,6.0
201904   ,06           ,67            ,3.35
201809   ,13           ,12            ,3.0
201701   ,20           ,20            ,6.666666666666667
201609   ,04           ,951           ,4.9274611398963737
201609   ,03           ,239           ,4.2678571428571432
201701   ,07           ,188           ,6.064516129032258
201702   ,15           ,33            ,2.5384615384615379
201508   ,17           ,196           ,6.32258064516129
201909   ,01           ,590           ,3.7820512820512828
201607   ,01           ,396           ,3.535714285714286
201804   ,05           ,212           ,4.4166666666666661
201911   ,09           ,19            ,3.8
201810   ,17           ,89            ,6.3571428571428568
201601   ,10           ,43            ,6.1428571428571432
202001   ,20           ,18            ,4.5
201503   ,16           ,10            ,10.0
202003   ,16           ,20            ,10.0
201506   ,02           ,192           ,6.193548387096774
201603   ,08           ,42            ,3.5000000000000009
201607   ,07           ,102           ,6.0
201910   ,04           ,696           ,3.7419354838709671
201804   ,03           ,122           ,3.6969696969696968
201803   ,08           ,167           ,5.21875
201703   ,08           ,68            ,5.2307692307692308
202001   ,18           ,30            ,5.0
201908   ,04           ,998           ,4.0241935483870961
201904   ,03           ,114           ,4.2222222222222223
201911   ,16           ,26            ,3.25
201810   ,07           ,20            ,5.0
201902   ,13           ,50            ,5.0
202003   ,01           ,168           ,4.9411764705882355
201605   ,17           ,226           ,7.5333333333333323
201602   ,02           ,232           ,4.3773584905660377
201511   ,08           ,142           ,5.4615384615384608
201705   ,12           ,64            ,3.7647058823529411
201502   ,08           ,22            ,4.4
201802   ,06           ,270           ,4.82142857142857
202002   ,01           ,262           ,4.225806451612903
201802   ,17           ,148           ,4.0
201908   ,05           ,618           ,3.9363057324840764
201901   ,06           ,88            ,7.333333333333333
201806   ,18           ,12            ,4.0
201708   ,18           ,10            ,2.5
