MonthYear,EventRootCode,Count,SumAvgToneNumSources,AvgAvgToneNumSources
201907   ,16           ,3    ,-17.450139541215709 ,-5.8167131804052365
201904   ,14           ,4    ,-13.65526545738139  ,-3.4138163643453474
201903   ,16           ,3    ,-4.4811320754717006 ,-1.4937106918239
201608   ,02           ,27   ,-66.872631448463224 ,-2.47676412772086
201709   ,02           ,215  ,-734.14056697508806 ,-3.4146072882562235
201712   ,06           ,8    ,-16.557039087576008 ,-2.069629885947001
201912   ,17           ,12   ,-39.5645446855603   ,-3.2970453904633592
201705   ,17           ,17   ,-77.548792918805333 ,-4.5616937011061953
201609   ,05           ,64   ,-18.924233273797842 ,-0.29569114490309151
201801   ,20           ,4    ,-21.507970740705439 ,-5.37699268517636
201902   ,08           ,38   ,-121.59412477235681 ,-3.1998453887462319
201703   ,15           ,3    ,10.25179856115108   ,3.41726618705036
201604   ,02           ,40   ,-73.2385223808754   ,-1.8309630595218849
201503   ,17           ,14   ,-58.859651461474087 ,-4.2042608186767207
201810   ,12           ,21   ,-78.147092053571086 ,-3.7212900977890988
201809   ,07           ,7    ,-14.326119091345321 ,-2.0465884416207603
201512   ,02           ,31   ,20.627870431332546  ,0.6654151752042754
201707   ,07           ,18   ,-13.224735955332012 ,-0.73470755307400037
201910   ,12           ,12   ,-37.0674861462585   ,-3.0889571788548751
201907   ,07           ,6    ,0.648746870839588   ,0.10812447847326462
201807   ,12           ,26   ,-35.763836677774471 ,-1.3755321799144029
201603   ,12           ,9    ,-13.348348128281192 ,-1.4831497920312433
201504   ,16           ,4    ,-12.43152099009831  ,-3.1078802475245775
201705   ,15           ,2    ,-11.820781696854141 ,-5.91039084842707
201702   ,11           ,66   ,-149.63955590400343 ,-2.2672659985455068
201712   ,02           ,43   ,-153.82259674614076 ,-3.5772696917707156
201610   ,07           ,12   ,-0.74101145158230075,-0.061750954298525146
201711   ,11           ,87   ,-431.61854122567911 ,-4.9611326577664272
201804   ,17           ,21   ,-82.845583312562155 ,-3.9450277767886739
201703   ,20           ,3    ,-10.50658757812797  ,-3.50219585937599
201711   ,16           ,8    ,-21.363256235482638 ,-2.67040702943533
201603   ,06           ,14   ,-43.150682386783132 ,-3.0821915990559385
201509   ,19           ,101  ,-491.56025889143672 ,-4.8669332563508583
201510   ,12           ,21   ,-40.574767114602409 ,-1.9321317673620195
201506   ,10           ,6    ,-14.75096123296176  ,-2.45849353882696
201605   ,06           ,16   ,-25.5095231394463   ,-1.5943451962153938
201506   ,07           ,23   ,-31.020147851133483 ,-1.3487020804840641
201507   ,17           ,26   ,-194.82271586601391 ,-7.4931813794620741
201703   ,16           ,7    ,4.7171656868201621  ,0.67388081240288034
201804   ,12           ,9    ,-13.690486105345329 ,-1.5211651228161478
201712   ,10           ,9    ,-31.399405820831554 ,-3.4888228689812832
201810   ,03           ,50   ,-121.95445583599137 ,-2.4390891167198276
201903   ,12           ,7    ,-21.162389799353022 ,-3.0231985427647174
201506   ,20           ,6    ,-37.260831012784251 ,-6.2101385021307083
201512   ,07           ,2    ,-1.0577685597511    ,-0.52888427987555
201905   ,06           ,12   ,-27.037679492106442 ,-2.2531399576755367
201605   ,14           ,2    ,4.19790104947526    ,2.09895052473763
201911   ,10           ,2    ,-8.96969696969696   ,-4.48484848484848
