MonthYear,EventRootCode, SumAvgToneNumMentions,AvgAvgToneNumMentions
201911,09,-96.022433546916375,-19.204486709383275
202001,20,-41.956319944632163,-10.489079986158041
201702,15,82.2150738556054,6.3242364504311848
201503,16,-53.731343283582106,-53.731343283582106
202003,16,-40.903640723784505,-20.451820361892253
201611,01,-293.09997479860385,-8.141665966627885
201601,05,-484.12834067321324,-5.2056810825076738
201604,04,-675.82978835486574,-3.9065305685252363
201601,12,-498.97448788798249,-12.474362197199559
201511,10,-378.622896914395,-47.327862114299386
201907,19,-408.31996153323377,-9.7219038460293756
201706,13,-114.17270386149737,-12.685855984610818
201802,18,-266.97651979357875,-19.069751413827053
201902,19,-1323.5389995708224,-20.6802968682941
201504,18,-149.02879407457897,-18.628599259322371
201801,16,-58.494924918282628,-11.698984983656526
201812,16,-21.6450216450217,-21.6450216450217
201606,09,-102.1924745144255,-12.774059314303187
202004,13,-28.15126050420168,-14.07563025210084
201610,02,-205.79441489692204,-9.7997340427105737
201903,17,-88.075753507831152,-5.5047345942394479
201605,01,-750.28803228177435,-8.6240003710548745
201811,01,-1034.5446562151149,-15.213892003163451
201512,17,-351.32044016409225,-14.638351673503843
201910,17,-674.989933799456,-26.999597351978242
201605,07,-4.8884630665762927,-0.40737192221469121
201706,06,-23.75454777530534,-3.9590912958842246
201906,17,-388.11667248903728,-16.171528020376549
201602,10,-93.530527352789221,-8.50277521388993
201905,09,-233.05429832887324,-25.894922036541473
202002,02,-140.95600748900665,-3.2035456247501508
201812,06,-162.12107676177047,-13.510089730147538
202001,12,-257.90297562670673,-10.745957317779446
201607,16,-136.61127564888224,-15.179030627653582
201503,14,-67.4619177176269,-9.6374168168038423
201905,08,-359.09672502171827,-18.899827632722012
201707,18,-3.0202880108034389,-0.75507200270085839
201608,14,6.14525139664806,6.14525139664806
201702,08,-167.00502101319222,-5.7587938280411111
201805,19,-481.13068934594457,-11.455492603474871
201610,01,-600.917911379503,-15.022947784487572
201602,19,-1322.2740816550274,-22.797828994052196
201612,05,-186.215918792092,-1.6626421320722495
201604,17,-408.76622930289631,-19.465058538233151
201603,18,-1350.3653403456542,-71.071860018192325
201804,08,-318.72918853721853,-35.41435428191317
201901,03,-134.49101016957459,-3.3622752542393655
201911,03,-212.66056331448684,-5.9072378698468553
201901,18,-91.8464459468332,-15.307740991138864
201507,20,-11.768661735037,-11.768661735037
201810,18,-106.32233451695711,-21.264466903391423
201607,18,-184.29814474185463,-20.477571637983846
201707,15,76.2132490517067,19.053312262926674
201807,05,-809.22377312812171,-9.8685825991234353
201808,04,-1920.7875742346987,-8.5749445278334715
201808,17,-784.33952635917649,-34.1017185373555
201510,11,-990.076533942429,-20.205643549845494
201801,09,-200.50440540515467,-28.643486486450666
201908,19,-1453.7795096390298,-18.638198841526023
201904,05,-113.97559242171049,-5.1807087464413861
201512,13,-170.65616764414375,-17.065616764414376
201502,03,-0.39655850948164328,-0.0660930849136081
201610,20,-34.557235421166318,-17.278617710583159
201510,18,-29.417268613386756,-2.6742971466715235
201809,02,-1052.6414225960875,-35.088047419869575
201903,20,-588.35728828410834,-39.223819218940555
201607,17,-430.2681987042838,-14.83683443807875
201808,16,7.37327188940092,3.68663594470046
201912,06,-4.2553285682088795,-0.60790408117269645
201901,14,-24.242424242424239,-8.08080808080808
201810,14,-61.265260821309695,-20.421753607103234
202004,02,-79.547875287618126,-8.8386528097353469
201704,18,-104.67515971049323,-10.467515971049325
201807,08,-210.58821354791243,-11.083590186732234
201702,14,-29.7397769516729,-29.7397769516729
201706,09,-96.046206176878258,-7.3881697059137137
201701,06,-36.283842029767513,-3.0236535024806259
202002,05,-471.02197785291537,-11.775549446322886
201807,16,-24.25367032287048,-4.8507340645740964
201605,08,-428.48567844260913,-20.404079925838534
201910,19,-1123.7859658246905,-17.289014858841398
201711,17,-602.683328891887,-19.441397706189903
201907,08,-280.67675782124257,-17.542297363827661
201506,06,-38.82546679319988,-2.0434456206947322
201812,01,-481.93470679918056,-6.8847815257025813
201804,04,-2670.3819087663046,-11.868364038961358
201504,07,24.041013853219617,1.3356118807344235
201511,12,-93.627152756233357,-11.70339409452917
201708,15,-184.19215747065559,-46.04803936766389
201903,10,3.4601484142769197,1.7300742071384598
201605,18,-24.592422502870281,-12.296211251435142
202001,10,-227.03793247430062,-20.639812043118241
201710,02,-206.73787278349278,-7.656958251240475
201606,05,449.11242806293336,1.5813817889539896
201903,13,-25.42219685076817,-8.474065616922724
202002,16,-356.52582716814169,-35.652582716814173
201505,15,-15.503003003002959,-7.75150150150148
201905,16,-13.651285976113279,-3.4128214940283197
202004,07,56.144990228678765,7.0181237785848456
201706,17,-208.41466680004589,-18.946787890913267
201703,17,-1087.2601003971001,-23.133193625470213
201702,12,-169.40075653847063,-8.9158292914984525
201603,04,-402.65030231494728,-4.3295731431714763
201509,02,-436.49482143791505,-11.486705827313555
201803,07,-102.10577826663817,-6.0062222509787144
201801,15,-75.815008665121326,-37.907504332560663
201802,07,-117.27636715934159,-4.8865152983059
201904,18,-88.189320850614521,-22.047330212653634
201908,17,-237.7654566287423,-11.322164601368682
201508,10,-15.837104072398279,-5.2790346907994268
201511,14,-6.77966101694909,-3.389830508474545
201911,05,-227.29853286559097,-4.6387455686855308
201912,05,-1863.4714275844897,-15.274355963807293
201712,08,-448.75167249638758,-20.397803295290341
201908,20,-103.65853658536601,-51.829268292683004
201611,02,-139.2785206085432,-4.642617353618105
201601,01,-1367.5489222643762,-7.9049070651120017
201512,11,-851.43433514571279,-11.505869393860978
201705,11,-433.61831429489928,-10.084146844067423
201602,07,5.4101757287139591,0.67627196608924489
202002,08,-169.60804289961536,-15.418912990874123
202002,07,-130.03326101169668,-7.6490153536292178
201908,01,-1647.0012767775675,-12.572528830363108
201811,17,-417.67454789508895,-12.656804481669363
201504,14,-6.9686411149826,-3.4843205574912997
201707,09,-57.671365718982813,-11.534273143796565
201806,11,-2330.7265501264324,-18.645812401011451
201804,13,-75.951768097775641,-15.190353619555129
201902,10,-32.694359756097562,-5.4490599593495936
201710,17,-142.076515473879,-7.4777113407304752
201502,16,-18.13867650935936,-18.13867650935936
201912,12,-203.62351389692705,-12.726469618557941
201606,14,15.192326410831974,2.1703323444045646
201809,16,-128.50006676942957,-18.357152395632795
202003,01,-412.6712267964358,-12.137389023424582
201901,06,129.50870038271435,10.792391698559532
