MonthYear,Actor1CountryCode,Events ,sumNumMentions,materialConfCoop    ,verbalConfCoop      ,avgAvgTone           ,avgGoldstein         ,fightCount,expressCount
202001   ,ASA              ,125    ,762           ,0.0                 ,0.032               ,1.2671305495208904   ,3.6416000000000004   ,0         ,1
202001   ,CRB              ,78     ,467           ,0.11538461538461539 ,0.089743589743589744,0.089626690048958124 ,0.92307692307692313  ,7         ,0
202001   ,TJK              ,1225   ,6200          ,0.22204081632653061 ,0.066938775510204079,-2.3058304187296019  ,0.34048979591836742  ,110       ,6
202001   ,MOZ              ,1599   ,8242          ,0.1344590368980613  ,0.13758599124452783 ,-1.9298439068242188  ,0.71957473420888041  ,129       ,21
202001   ,BLZ              ,921    ,4357          ,0.14223669923995658 ,0.080347448425624315,-1.2020538854558345  ,0.45982627578718782  ,73        ,22
202001   ,GAB              ,360    ,2145          ,0.1111111111111111  ,0.125               ,-1.2444187577540831  ,0.946388888888889    ,10        ,6
202001   ,MAR              ,5737   ,30961         ,0.093428621230608327,0.10040090639707164 ,-0.48954713467811933 ,1.5620881994073552   ,141       ,109
202001   ,YEM              ,5898   ,28752         ,0.31383519837232959 ,0.14377755171244488 ,-4.2702986510289138  ,-1.6786876907426243  ,1391      ,46
202001   ,IDN              ,26195  ,157139        ,0.12704714640198511 ,0.101164344340523   ,-1.556638991113545   ,0.87343386142393509  ,853       ,933
202001   ,KAZ              ,3737   ,21539         ,0.10516457051110517 ,0.0668985817500669  ,-1.1429194786903452  ,1.8161894567835168   ,70        ,56
202001   ,NPL              ,5626   ,31276         ,0.13917525773195877 ,0.093494489868467825,-1.8750115171863746  ,0.74944898684678285  ,131       ,250
202001   ,LUX              ,1759   ,10287         ,0.0648095508811825  ,0.10176236498010233 ,-0.20875380558455375 ,1.8490619670267194   ,38        ,36
202001   ,DNK              ,5918   ,32013         ,0.11929705981750592 ,0.10307536329841163 ,-1.0927117616609834  ,1.1704967894558973   ,287       ,161
202001   ,COL              ,12042  ,64903         ,0.12597575153628965 ,0.1292144162099319  ,-2.2250898538329271  ,0.75991529646238143  ,645       ,276
202001   ,CYP              ,5868   ,33979         ,0.11895023858214042 ,0.1274710293115201  ,-2.3164882893974248  ,1.4006134969325152   ,68        ,112
202001   ,SGP              ,7503   ,38934         ,0.10595761695321872 ,0.078768492602958817,-1.3331451607688354  ,1.5019858723177393   ,216       ,177
202001   ,MEX              ,35636  ,192562        ,0.14443259625098215 ,0.10831743181052868 ,-1.9311064580359876  ,0.78383656976091631  ,2417      ,749
202001   ,URY              ,1857   ,11309         ,0.0630048465266559  ,0.0888529886914378  ,-0.6148992928751541  ,1.7175551965535809   ,72        ,40
202001   ,GEO              ,20     ,66            ,0.0                 ,0.0                 ,-3.2409457211633317  ,1.28                 ,0         ,0
