MonthYear,EventRootCode,SumNumMentions,AvgNumMentions
201805   ,19           ,220           ,4.23076923076923
201601   ,12           ,258           ,4.6071428571428585
201503   ,02           ,461           ,5.1222222222222236
201508   ,03           ,80            ,5.3333333333333339
201807   ,06           ,80            ,5.7142857142857144
201910   ,03           ,33            ,3.0000000000000004
201604   ,10           ,20            ,6.666666666666667
201905   ,06           ,71            ,3.2272727272727275
202003   ,09           ,56            ,8.0
202004   ,09           ,64            ,7.1111111111111116
201706   ,17           ,234           ,3.8999999999999995
201706   ,10           ,71            ,2.9583333333333335
201711   ,20           ,16            ,8.0
201804   ,02           ,422           ,6.8064516129032251
201710   ,01           ,527           ,4.9716981132075464
201508   ,04           ,619           ,4.29861111111111
201603   ,04           ,434           ,4.6170212765957457
201606   ,03           ,407           ,5.8985507246376816
201511   ,06           ,62            ,4.4285714285714288
201908   ,06           ,90            ,3.4615384615384617
202002   ,01           ,301           ,4.5606060606060606
201909   ,19           ,225           ,3.5714285714285716
201809   ,18           ,32            ,6.4
201808   ,13           ,22            ,2.4444444444444446
201903   ,18           ,25            ,3.5714285714285712
201902   ,19           ,134           ,3.9411764705882355
202004   ,08           ,132           ,5.0769230769230766
201707   ,05           ,600           ,3.3707865168539319
201712   ,19           ,113           ,3.7666666666666666
201705   ,03           ,162           ,5.7857142857142847
201610   ,15           ,148           ,4.352941176470587
201804   ,15           ,2             ,2.0
201504   ,15           ,70            ,4.666666666666667
201604   ,07           ,264           ,6.1395348837209305
201511   ,13           ,85            ,6.0714285714285712
201604   ,09           ,64            ,4.2666666666666666
201512   ,16           ,71            ,4.1764705882352953
201808   ,08           ,72            ,4.8
202001   ,11           ,1888          ,3.9580712788259955
201811   ,03           ,262           ,5.954545454545455
201811   ,14           ,102           ,6.8
201902   ,15           ,52            ,4.333333333333333
201804   ,04           ,671           ,5.7844827586206895
201610   ,14           ,40            ,2.8571428571428572
201706   ,15           ,29            ,3.625
201710   ,17           ,119           ,2.975
201805   ,01           ,530           ,5.7608695652173907
201607   ,08           ,408           ,5.8285714285714292
201504   ,12           ,1091          ,5.7120418848167533
201604   ,15           ,54            ,4.5
201807   ,20           ,6             ,6.0
201908   ,07           ,50            ,3.125
201810   ,11           ,503           ,7.084507042253521
201811   ,07           ,61            ,3.3888888888888888
202004   ,03           ,115           ,4.2592592592592595
201611   ,18           ,100           ,5.5555555555555562
201701   ,04           ,931           ,5.0053763440860211
201503   ,11           ,1077          ,5.30541871921182
201503   ,06           ,178           ,4.3414634146341466
201607   ,19           ,722           ,4.6883116883116882
201607   ,12           ,198           ,4.7142857142857153
201507   ,15           ,22            ,2.4444444444444446
201904   ,02           ,248           ,5.511111111111112
202004   ,01           ,139           ,4.0882352941176467
201709   ,18           ,38            ,4.2222222222222223
201608   ,05           ,471           ,4.1315789473684212
201610   ,11           ,701           ,5.9914529914529915
